permno,adate,qdate,public_date,bm,TICKER
40125,2021/03/31,2021/06/30,2021/08/31,0.513,DXC
40125,2021/03/31,2021/06/30,2021/09/30,0.513,DXC
40125,2021/03/31,2021/06/30,2021/10/31,0.513,DXC
40125,2021/03/31,2021/09/30,2021/11/30,0.563,DXC
40125,2021/03/31,2021/09/30,2021/12/31,0.563,DXC
44601,2018/12/31,2019/09/30,2020/01/31,0.111,AVY
44601,2019/12/31,2019/12/31,2020/02/29,0.114,AVY
44601,2019/12/31,2019/12/31,2020/03/31,0.114,AVY
44601,2019/12/31,2019/12/31,2020/04/30,0.114,AVY
44601,2019/12/31,2020/03/31,2020/05/31,0.138,AVY
44601,2019/12/31,2020/03/31,2020/06/30,0.138,AVY
44601,2019/12/31,2020/03/31,2020/07/31,0.138,AVY
44601,2019/12/31,2020/06/30,2020/08/31,0.128,AVY
44601,2019/12/31,2020/06/30,2020/09/30,0.128,AVY
44601,2019/12/31,2020/06/30,2020/10/31,0.128,AVY
44601,2019/12/31,2020/09/30,2020/11/30,0.125,AVY
44601,2019/12/31,2020/09/30,2020/12/31,0.125,AVY
44601,2019/12/31,2020/09/30,2021/01/31,0.125,AVY
44601,2020/12/31,2020/12/31,2021/02/28,0.119,AVY
44601,2020/12/31,2020/12/31,2021/03/31,0.119,AVY
44601,2020/12/31,2020/12/31,2021/04/30,0.119,AVY
44601,2020/12/31,2021/03/31,2021/05/31,0.104,AVY
44601,2020/12/31,2021/03/31,2021/06/30,0.104,AVY
44601,2020/12/31,2021/03/31,2021/07/31,0.104,AVY
44601,2020/12/31,2021/06/30,2021/08/31,0.098,AVY
44601,2020/12/31,2021/06/30,2021/09/30,0.098,AVY
44601,2020/12/31,2021/06/30,2021/10/31,0.098,AVY
44601,2020/12/31,2021/09/30,2021/11/30,0.105,AVY
44601,2020/12/31,2021/09/30,2021/12/31,0.105,AVY
46674,2018/12/31,2019/09/30,2020/01/31,0.268,GPC
46674,2019/12/31,2019/12/31,2020/02/29,0.253,GPC
46674,2019/12/31,2019/12/31,2020/03/31,0.253,GPC
46674,2019/12/31,2019/12/31,2020/04/30,0.253,GPC
46674,2019/12/31,2020/03/31,2020/05/31,0.372,GPC
46674,2019/12/31,2020/03/31,2020/06/30,0.372,GPC
46674,2019/12/31,2020/03/31,2020/07/31,0.372,GPC
46674,2019/12/31,2020/06/30,2020/08/31,0.244,GPC
46674,2019/12/31,2020/06/30,2020/09/30,0.244,GPC
46674,2019/12/31,2020/06/30,2020/10/31,0.244,GPC
46674,2019/12/31,2020/09/30,2020/11/30,0.235,GPC
46674,2019/12/31,2020/09/30,2020/12/31,0.235,GPC
46674,2019/12/31,2020/09/30,2021/01/31,0.235,GPC
46674,2020/12/31,2020/12/31,2021/02/28,0.236,GPC
46674,2020/12/31,2020/12/31,2021/03/31,0.236,GPC
46674,2020/12/31,2020/12/31,2021/04/30,0.236,GPC
46674,2020/12/31,2021/03/31,2021/05/31,0.211,GPC
46674,2020/12/31,2021/03/31,2021/06/30,0.211,GPC
46674,2020/12/31,2021/03/31,2021/07/31,0.211,GPC
46674,2020/12/31,2021/06/30,2021/08/31,0.191,GPC
46674,2020/12/31,2021/06/30,2021/09/30,0.191,GPC
46674,2020/12/31,2021/06/30,2021/10/31,0.191,GPC
46674,2020/12/31,2021/09/30,2021/11/30,0.197,GPC
46674,2020/12/31,2021/09/30,2021/12/31,0.197,GPC
47896,2018/12/31,2019/09/30,2020/01/31,0.639,JPM
47896,2019/12/31,2019/12/31,2020/02/29,0.562,JPM
47896,2019/12/31,2019/12/31,2020/03/31,0.562,JPM
47896,2019/12/31,2019/12/31,2020/04/30,0.562,JPM
47896,2019/12/31,2020/03/31,2020/05/31,0.843,JPM
47896,2019/12/31,2020/03/31,2020/06/30,0.843,JPM
47896,2019/12/31,2020/03/31,2020/07/31,0.843,JPM
47896,2019/12/31,2020/06/30,2020/08/31,0.818,JPM
47896,2019/12/31,2020/06/30,2020/09/30,0.818,JPM
47896,2019/12/31,2020/06/30,2020/10/31,0.818,JPM
47896,2019/12/31,2020/09/30,2020/11/30,0.821,JPM
47896,2019/12/31,2020/09/30,2020/12/31,0.821,JPM
47896,2019/12/31,2020/09/30,2021/01/31,0.821,JPM
47896,2020/12/31,2020/12/31,2021/02/28,0.653,JPM
47896,2020/12/31,2020/12/31,2021/03/31,0.653,JPM
47896,2020/12/31,2020/12/31,2021/04/30,0.653,JPM
47896,2020/12/31,2021/03/31,2021/05/31,0.541,JPM
47896,2020/12/31,2021/03/31,2021/06/30,0.541,JPM
47896,2020/12/31,2021/03/31,2021/07/31,0.541,JPM
47896,2020/12/31,2021/06/30,2021/08/31,0.546,JPM
47896,2020/12/31,2021/06/30,2021/09/30,0.546,JPM
47896,2020/12/31,2021/06/30,2021/10/31,0.546,JPM
47896,2020/12/31,2021/09/30,2021/11/30,0.528,JPM
47896,2020/12/31,2021/09/30,2021/12/31,0.528,JPM
59176,2018/12/31,2019/09/30,2020/01/31,0.237,AXP
59176,2019/12/31,2019/12/31,2020/02/29,0.213,AXP
59176,2019/12/31,2019/12/31,2020/03/31,0.213,AXP
59176,2019/12/31,2019/12/31,2020/04/30,0.213,AXP
59176,2019/12/31,2020/03/31,2020/05/31,0.305,AXP
59176,2019/12/31,2020/03/31,2020/06/30,0.305,AXP
59176,2019/12/31,2020/03/31,2020/07/31,0.305,AXP
59176,2019/12/31,2020/06/30,2020/08/31,0.275,AXP
59176,2019/12/31,2020/06/30,2020/09/30,0.275,AXP
59176,2019/12/31,2020/06/30,2020/10/31,0.275,AXP
59176,2019/12/31,2020/09/30,2020/11/30,0.271,AXP
59176,2019/12/31,2020/09/30,2020/12/31,0.271,AXP
59176,2019/12/31,2020/09/30,2021/01/31,0.271,AXP
59176,2020/12/31,2020/12/31,2021/02/28,0.220,AXP
59176,2020/12/31,2020/12/31,2021/03/31,0.220,AXP
59176,2020/12/31,2020/12/31,2021/04/30,0.220,AXP
59176,2020/12/31,2021/03/31,2021/05/31,0.215,AXP
59176,2020/12/31,2021/03/31,2021/06/30,0.215,AXP
59176,2020/12/31,2021/03/31,2021/07/31,0.215,AXP
59176,2020/12/31,2021/06/30,2021/08/31,0.194,AXP
59176,2020/12/31,2021/06/30,2021/09/30,0.194,AXP
59176,2020/12/31,2021/06/30,2021/10/31,0.194,AXP
59176,2020/12/31,2021/09/30,2021/11/30,0.187,AXP
59176,2020/12/31,2021/09/30,2021/12/31,0.187,AXP
82775,2018/12/31,2019/09/30,2020/01/31,0.720,HIG
82775,2019/12/31,2019/12/31,2020/02/29,0.729,HIG
82775,2019/12/31,2019/12/31,2020/03/31,0.729,HIG
82775,2019/12/31,2019/12/31,2020/04/30,0.729,HIG
82775,2019/12/31,2020/03/31,2020/05/31,1.184,HIG
82775,2019/12/31,2020/03/31,2020/06/30,1.184,HIG
82775,2019/12/31,2020/03/31,2020/07/31,1.184,HIG
